R,G,B,O,Y,B
163,381,912,992,850,402
161,380,915,996,854,403
160,380,906,987,841,399
158,377,907,986,844,399
155,373,901,976,835,394
153,370,905,979,841,396
155,371,899,973,833,393
152,369,902,976,835,394
152,370,899,973,832,393
151,368,901,975,834,393
152,370,899,974,831,393
349,582,1347,1474,1438,658
348,583,1348,1479,1433,658
345,580,1344,1472,1427,655
344,579,1348,1481,1430,657
343,581,1349,1483,1432,659
348,588,1357,1498,1437,667
348,587,1349,1483,1438,662
348,580,1347,1479,1439,661
347,579,1343,1472,1437,658
352,585,1347,1479,1444,664
353,585,1346,1474,1445,662
350,576,1348,1476,1449,664
348,576,1342,1464,1443,656
347,574,1344,1472,1444,661
351,580,1346,1474,1445,661
349,577,1343,1468,1443,659
348,575,1344,1467,1444,658
346,573,1342,1465,1441,656
349,579,1346,1471,1443,659
345,573,1342,1464,1439,654
346,574,1341,1461,1438,654
345,572,1347,1470,1443,658
344,575,1344,1469,1436,656
349,584,1353,1483,1448,665
350,581,1352,1480,1448,663
348,578,1351,1479,1448,662
349,579,1349,1478,1448,663
352,582,1351,1479,1449,664
352,584,1352,1484,1448,666
351,583,1352,1481,1449,663
348,578,1349,1474,1447,660
348,578,1347,1472,1445,659
348,578,1352,1480,1450,664
351,584,1353,1487,1451,668
353,585,1354,1488,1454,670
356,588,1353,1487,1454,669
355,586,1354,1487,1455,670
358,590,1355,1490,1457,671
356,588,1355,1491,1458,672
358,590,1357,1494,1459,674
358,590,1357,1495,1460,674
359,590,1361,1498,1462,676
359,592,1357,1494,1461,675
360,591,1359,1496,1461,674
354,585,1363,1493,1459,670
352,584,1362,1483,1450,658
336,570,1360,1470,1435,643
331,571,1357,1463,1436,642
323,552,1343,1437,1429,632
330,557,1343,1440,1434,635
332,561,1341,1434,1433,633
325,551,1335,1420,1425,626
320,544,1335,1418,1423,624
318,543,1334,1419,1424,624
319,542,1335,1422,1427,626
322,545,1329,1411,1424,622
317,538,1334,1418,1427,625
321,542,1330,1412,1425,624
321,542,1331,1416,1427,625
318,539,1329,1412,1424,623
320,542,1332,1417,1426,625
319,541,1333,1417,1427,625
320,541,1327,1405,1422,620
307,527,1322,1394,1413,612
